timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
743,12323,6,5,5.34089,2,1,0.0026034
743,13352,6,14,7.1324,2,1,0.00260299
743,12277,1,5,4.62672,4,1,0.00119545
743,12325,4,12,5.90959,2,1,0.0026034
743,13354,2,5,5.1111,4,1,0.00119539
743,12327,8,16,7.80892,3,1,0.0012745
743,13356,4,11,5.45914,3,1,0.00127374
743,12329,3,7,6.54285,4,1,0.00119546
743,13358,1,5,4.56641,4,1,0.00119539
743,13360,1,8,4.0652,3,1,0.00127374
743,12331,2,9,4.51916,2,1,0.0026034
743,13362,3,5,4.54893,3,1,0.00127374
743,12333,9,6,6.05173,2,1,0.0026034
743,13364,16,8,7.9957,2,1,0.00260299
743,12335,11,7,6.55021,2,1,0.0026034
743,13366,3,6,6.45056,4,1,0.00119539
744,13376,6,5,5.34089,3,1,0.00127589
744,12281,2,5,5.1111,4,1,0.00119706
744,12344,6,14,7.1324,3,1,0.00127653
744,13378,4,12,5.90959,3,1,0.00127589
744,12346,4,8,7.64659,4,1,0.00119706
744,12283,1,5,4.56641,4,1,0.00119706
744,13380,3,7,6.54285,4,1,0.00119699
744,12348,4,11,5.45914,2,1,0.00260789
744,12285,3,6,6.45056,4,1,0.00119706
744,13382,2,9,4.51916,3,1,0.00127589
744,12350,8,16,7.80892,3,1,0.00127653
744,13384,16,8,7.9957,3,1,0.00127589
744,12352,1,8,4.0652,2,1,0.00260789
744,13386,11,7,6.55021,2,1,0.00260763
744,12354,3,5,4.54893,2,1,0.00260789
744,12356,1,5,4.62672,4,1,0.00119706
744,12358,9,6,6.05173,2,1,0.00260789
745,12290,3,7,6.54285,4,1,0.00119866
745,12368,6,14,7.1324,2,1,0.00261238
745,13394,4,8,7.64659,4,1,0.0011986
745,12370,6,5,5.34089,3,1,0.00127855
745,13396,4,12,5.90959,2,1,0.00261228
745,12372,2,5,5.1111,4,1,0.00119867
745,13398,4,11,5.45914,3,1,0.00127804
745,12374,8,16,7.80892,3,1,0.00127855
745,13400,1,8,4.0652,3,1,0.00127804
745,12376,1,5,4.56641,4,1,0.00119867
745,13402,3,5,4.54893,2,1,0.00261228
745,12378,2,9,4.51916,2,1,0.00261238
745,13404,1,5,4.62672,4,1,0.0011986
745,12380,9,6,6.05173,2,1,0.00261238
745,13406,16,8,7.9957,3,1,0.00127804
745,12382,3,6,6.45056,4,1,0.00119867
745,12384,11,7,6.55021,2,1,0.00261238
746,12395,6,14,7.1324,3,1,0.00128058
746,13415,6,5,5.34089,2,1,0.00261693
746,12293,4,8,7.64659,4,1,0.00120026
746,12397,4,11,5.45914,2,1,0.00261688
746,13417,2,5,5.1111,4,1,0.0012002
746,12295,1,5,4.62672,4,1,0.00120026
746,12399,8,16,7.80892,3,1,0.00128058
746,13419,4,12,5.90959,2,1,0.00261693
746,12401,3,7,6.54285,4,1,0.00120027
746,13421,1,5,4.56641,4,1,0.0012002
746,13423,2,9,4.51916,2,1,0.00261693
746,12403,1,8,4.0652,2,1,0.00261688
746,13425,16,8,7.9957,2,1,0.00261693
746,12405,3,5,4.54893,2,1,0.00261688
746,13427,3,6,6.45056,4,1,0.0012002
746,12407,9,6,6.05173,2,1,0.00261688
746,12409,11,7,6.55021,3,1,0.00128058
747,13436,6,14,7.1324,3,1,0.00128235
747,12299,2,5,5.1111,4,1,0.00120187
747,12419,4,8,7.64659,4,1,0.00120187
747,13438,6,5,5.34089,3,1,0.00128235
747,12421,4,12,5.90959,2,1,0.00262138
747,12301,1,5,4.56641,4,1,0.00120187
747,13440,8,16,7.80892,3,1,0.00128235
747,12423,4,11,5.45914,2,1,0.00262138
747,12303,3,6,6.45056,4,1,0.00120187
747,13442,3,7,6.54285,4,1,0.0012018
747,12425,1,8,4.0652,3,1,0.00128262
747,13444,2,9,4.51916,2,1,0.00262157
747,12427,3,5,4.54893,3,1,0.00128262
747,13446,16,8,7.9957,2,1,0.00262157
747,12429,1,5,4.62672,4,1,0.00120187
747,13448,9,6,6.05173,3,1,0.00128235
747,12431,11,7,6.55021,3,1,0.00128262
748,12440,6,14,7.1324,2,1,0.00262587
748,13457,4,8,7.64659,4,1,0.0012034
748,12308,3,7,6.54285,4,1,0.00120347
748,12442,6,5,5.34089,3,1,0.00128466
748,13459,4,12,5.90959,3,1,0.00128451
748,12444,2,5,5.1111,4,1,0.00120347
748,13461,4,11,5.45914,2,1,0.00262623
748,12446,1,5,4.56641,4,1,0.00120347
748,13463,8,16,7.80892,3,1,0.00128451
748,12448,2,9,4.51916,2,1,0.00262587
748,13465,1,8,4.0652,2,1,0.00262623
748,12450,16,8,7.9957,3,1,0.00128466
748,13467,3,5,4.54893,2,1,0.00262623
748,12452,3,6,6.45056,4,1,0.00120347
748,13469,1,5,4.62672,4,1,0.0012034
748,13471,9,6,6.05173,2,1,0.00262623
748,12454,11,7,6.55021,2,1,0.00262587
749,13481,6,14,7.1324,2,1,0.00263088
749,12464,4,11,5.45914,2,1,0.00263037
749,12311,4,8,7.64659,4,1,0.00120507
749,13483,6,5,5.34089,3,1,0.00128667
749,12466,8,16,7.80892,3,1,0.00128669
749,12313,1,5,4.62672,4,1,0.00120507
749,13485,2,5,5.1111,4,1,0.00120501
749,12468,3,7,6.54285,4,1,0.00120508
749,13487,4,12,5.90959,3,1,0.00128667
749,12470,2,9,4.51916,2,1,0.00263037
749,13489,1,5,4.56641,4,1,0.00120501
749,12472,9,6,6.05173,2,1,0.00263037
749,13491,1,8,4.0652,2,1,0.00263088
749,12474,11,7,6.55021,2,1,0.00263037
749,13493,3,5,4.54893,2,1,0.00263088
749,13495,16,8,7.9957,3,1,0.00128667
749,13497,3,6,6.45056,4,1,0.00120501
750,13508,6,5,5.34089,2,1,0.00263554
750,12317,2,5,5.1111,4,1,0.00120668
750,12482,6,14,7.1324,3,1,0.00128874
